,,Sentiment,Confidence
b chasbottom lung diseas wuhancoronaviru soooo n let s smoke pot n nrealli nregard sick leav state empl xe x xa http co admsmzbvzn,,Neutral,0.602
b comrad nycmayor the chinaviru wuhancoronaviru china period call it offend xe x xa http co kyvqhrvhc,,Positive,0.407
b richzeoli appar even favorit book store affect wuhancoronaviru http co zfeuvegi,,Positive,0.474
b philprang sharron royalti stormisuponu it exist realiti wuhancoronaviru exist poser,,Positive,0.558
b massiv surg britishcolumbia new case noplan covid wuhancoronaviru thankschina itsallmessedup http co lccow csc,,Positive,0.612
b leablackmiami funder he never call wuhancoronaviru hoax refer democrat amp medium c xe x xa http co gxx wkuarq,,Neutral,0.765
b sensand perhap worri death toll name n nwuhanflu wuhancoronaviru,,Neutral,0.658
b benedictrog wsj nytim washingtonpost borisjohnson dominicraab where freedomofspeech ni concern xe x xa http co uyjxlxum j,,Neutral,0.487
b senatorbiaggi who if xe x x go post pictur probabl good idea use clear one decent xe x xa http co ldqx kodpt,,Positive,0.624
b emilyrauhala just put record straight wuhancoronaviru found nov xe x xa http co bn boxzt,,Neutral,0.728
b for month continu told xe x x cmask xe x x work xe x x today i present n n xe x x cthe provinc expect recei xe x xa http co rf ri wu,,Positive,0.599
b hey democrat hear thi conserv loud amp proud we votedemsout masshysteria xe x xa http co miqw il v,,Positive,0.892
b latimesopinion xf x f x x remov your paywal xf x f x x n ncoronaviru chinesepneumonia wuhancoronaviru wuhanpneumonia xe x xa http co uyqkkk nvb,,Neutral,0.459
b sarafisch pippypip sara ccp china tri spin whole wuhancoronaviru countri fault xe x xa http co uttu udbi,,Positive,0.49
b what great american xf x f x xba xf x f x xb n nwereallinthistogeth nwuhancoronaviru http co jl ao bsvp,,Positive,0.823
b trump defeat wuhancoronaviru chief support progress one hand tie deepstat http co rjbxmcjjsr,,Neutral,0.561
b mjr xhnew it seem daughter grow stupid luckygirl wuhancoronaviru auspol,,Negative,0.776
b warehous m face mask fight covid who wuhanviru wuhan wuhancoronaviru wuhancoronavirusoutbreak xe x xa http co rpyqg f q,,Negative,0.363
b the manchurian suckup ngfi nwuhancoronaviru chinacoronaviru n kurtschlicht robprovinc buzzpatterson xe x xa http co iknbjzrvrn,,Neutral,0.655
b appar health care profession work hour day day week end sight collect xe x xa http co xgzszmi ta,,Neutral,0.785
b xhnew the incompet see use race card cover china failur contain xe x xa http co zh ifgebg,,Positive,0.472
b norbertelek wuhancoronaviru ccp culprit start,,Neutral,0.726
b sgra star yesnicksearci nbcnew who shoot dude ni chine american viru given xe x xa http co nqasudxntc,,Positive,0.455
b senwarren whitehous foxnew how work bill get u our relief instead tri correct ameri xe x xa http co rkjczdc g,,Positive,0.6
b senwarren stick wuhancoronaviru one apocalyps time plea chinawuhanviru that everyon freak,,Neutral,0.714
b nope great tool show incompet the viru spillov fault xe x xa http co cwre zm,,Positive,0.645
b misshellca laylow gorillastyl originalq shlomoindiana phil mckraken digivorr tourguidej xe x xa http co cu kpinjza,,Neutral,0.646
b xe x x citali coronaviru disast at first offici urg peopl go aperitif now doctor must cho xe x xa http co iaaz ml,,Negative,0.689
b it look like facebook go censorship rout wuhanviru i abl post articl xe x xa http co e e wwv c,,Negative,0.726
b trend hashtag chinaviru chineseviru wuhancoronaviru wuhan http co xjo cxityf,,Neutral,0.595
b stephenmcdonel china small allow free speech truth chineseviru chinesecoronaviru xe x xa http co i xjqsc oq,,Positive,0.755
b repjudychu thread msm chinesecoronaviru wuhancoronaviru racism nchineseviru nhttp co qsx m zfsb,,Neutral,0.678
b facebook censor articl critic china includ wuhan viru there someth wron xe x xa http co b uvgizcln,,Neutral,0.703
b cernovich see medium alreadi fall worship china china engin xe x xa http co o jfqmqbon,,Neutral,0.783
b china nurs got home front line adher day self quarantin hotel the neighbor shoo h xe x xa http co l iwkqru,,Negative,0.553
b china friend nwuhancoronaviru chinesecoronaviru n nchina is exploit the pandem and is activ xe x xa http co qp r gb k,,Negative,0.458
b just remind wuhan china xf x f x xa xf x f x xb chineseviru wuhancoronaviru we need hold china account xe x xa http co wnwnahdfal,,Positive,0.417
b bethanyallenebr ccp declar war u soon west weakest wuhancoronaviru,,Positive,0.55
b even fakenewscnn also agre presid realdonaldtrump kind leader peopl need xe x xa http co buxrr laka,,Negative,0.715
b sarafisch and restrict american free speech nwuflu nwuhancoronaviru nwuhanchineseviru,,Neutral,0.616
b xhnew it chine communist parti incompet chineseviru wuhancoronaviru wuhanviru xe x xa http co n tzyfs,,Negative,0.554
b madrid spain xf x f x xaa xf x f x xb deal covid aka wuhancoronaviru quarantin even dreari amp dread time xe x xa http co dpockrzamd,,Neutral,0.565
b nbcnew the truth truth matter tri spin it is chineseviru wuhancoronaviru xe x xa http co edebeaplzi,,Neutral,0.469
b virus name place thousand year n nwuhancoronaviru,,Neutral,0.781
b heathenonearth kamvtv xhnew chine sympath the wuhanviru wuhancoronaviru chineseviru noth xe x xa http co tl znrmrev,,Neutral,0.711
b hongkongfp it xe x x war get readi xe x x go unpreced social upheav hongkong go get fuck xe x xa http co upr vxw f,,Positive,0.485
b rip first dog die coronaviru mention thousand dog kill eaten china xf x f x xa xf x f x xb n nstop eati xe x xa http co teypchuf,,Negative,0.765
b covid chinesecoronaviru wuhancoronaviru xf x f x xb hypocrit xe xa xb xe xa xb xe xa xb http co wanpsdh up,,Negative,0.705
b fluorescentgrey lhfang china owe world break send billion peopl outright panic nli xe x xa http co ti poxhsgw,,Negative,0.585
b nytgraph xf x f x x remov your paywal xf x f x x n ncoronaviru chinesepneumonia wuhancoronaviru wuhanpneumonia xe x xa http co r vlrjpg,,Negative,0.469
b bobsegallwthr blah blah blah they realli dig deep pedojar one it xenophob it is xe x xa http co teuscfuwzf,,Negative,0.649
b the number death usa soar xf x f x xa wuhancoronaviru http co wepafkiaqu,,Neutral,0.644
b how mani covid test china per day ncovid covid corona coronarvirusitalia wuhan xe x xa http co uy cdi opx,,Neutral,0.52
b massago senwarren truli pathet use race card yawn n nwuhancoronaviru ntrump http co iibouwkglp,,Neutral,0.662
b we gotta right thing protect vulner stay home avoid infect sp xe x xa http co rmyczqkxm,,Negative,0.791
b chineseviru chinesecoronaviru chineseflu chinesewuhanviru wuflu wuhanviru wuhancoronaviru n nit began xe x xa http co ieizci fl,,Negative,0.677
b ampalsson merrilllynch nbcnew do realis said nthe wuhancoronaviru actual kill ppl,,Neutral,0.574
